Borough,Area,Unemployment rate  - 16+ white UK born,null...4,null...5,null...6,Unemployment rate  - 16+ white not UK born,null...8,null...9,null...10,Unemployment rate  - 16+ ethnic minority UK born,null...12,null...13,null...14,Unemployment rate  - 16+ ethnic minority not UK born,null...16,null...17,null...18,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,null,number,denominator,percent,confidence,number,denominator,percent,confidence,number,denominator,percent,confidence,number,denominator,percent,confidence,,,,,,,,,,,
,East,88800,2543300,3.5,0.7,10600,324600,3.3,1.8,5300,106200,5,3.5,6200,198200,3.1,2,,,,,,,,,,,
,East,81600,2543200,3.2,0.7,6700,339300,2,1.3,4200,98500,4.2,3.2,10400,211000,4.9,2.4,,,,,,,,,,,
,East,99800,2535600,3.9,0.8,9600,340900,2.8,2,5200,107900,4.8,4,10900,202000,5.4,3.1,,,,,,,,,,,
,East,92900,2531400,3.7,0.7,6800,323700,2.1,1.8,8600,128300,6.7,4.4,12800,216700,5.9,3.2,,,,,,,,,,,
,East,61200,2497900,2.4,0.7,7500,330500,2.3,1.9,8000,159500,5,3.9,12500,219300,5.7,3.2,,,,,,,,,,,
,East Midlands,131300,1959300,6.7,1,10700,137400,7.8,3.8,10900,74300,14.7,6.2,16600,131900,12.6,4.1,,,,,,,,,,,
,East Midlands,101900,1978400,5.1,0.9,9100,150000,6,3.3,9600,78800,12.2,5.7,10300,130400,7.9,3.4,,,,,,,,,,,
,East Midlands,80300,1941700,4.1,0.8,10000,183500,5.4,2.9,8700,83600,10.4,5.3,10800,133100,8.1,3.6,,,,,,,,,,,
,East Midlands,80800,1954600,4.1,0.8,7500,191100,3.9,2.6,5600,80300,6.9,4.6,7300,139200,5.2,3,,,,,,,,,,,
,East Midlands,80800,1954600,4.1,0.8,7500,191100,3.9,2.6,5600,80300,6.9,4.6,7300,139200,5.2,3,,,,,,,,,,,
,East Midlands,76000,1924200,4,0.8,12400,212600,5.9,3,7000,84200,8.3,5,9900,151000,6.6,3.4,,,,,,,,,,,
,East Midlands,84100,1931100,4.4,0.9,7200,209100,3.4,2.3,4700,96600,4.8,3.7,11700,159900,7.3,3.5,,,,,,,,,,,
,East Midlands,64400,1949900,3.3,0.8,10000,224500,4.4,2.6,5200,104700,5,3.8,11500,173200,6.7,3.3,,,,,,,,,,,
,East Midlands,85300,1962900,4.3,1,11700,204900,5.7,4,11600,91800,12.7,7.1,11200,172100,6.5,4.1,,,,,,,,,,,
,East Midlands,76700,1883000,4.1,0.9,6100,212200,2.9,*,10100,102400,9.9,5.9,13000,180000,7.2,4.2,,,,,,,,,,,
,East Midlands,46900,1887200,2.5,0.8,5000,206200,2.4,*,6300,105500,6,4.8,10400,201700,5.2,3.1,,,,,,,,,,,
,Enfield,4800,74800,6.4,5.3,2400,27600,8.6,*,2600,18700,14.2,*,2200,32000,6.9,*,,,,,,,,,,,
,Enfield,4800,79100,6.1,5.3,1600,21500,7.3,*,1500,19500,7.8,*,3100,35600,8.6,*,,,,,,,,,,,
,Enfield,2400,70900,3.3,*,!,27500,!,!,!,20700,!,!,2800,40600,6.8,*,,,,,,,,,,,
,Enfield,3400,73000,4.6,*,1200,27200,4.5,*,3500,22500,15.4,*,1200,38500,3.1,*,,,,,,,,,,,
,Enfield,4300,72300,6,*,1500,31500,4.8,*,!,22700,!,!,!,38400,!,!,,,,,,,,,,,
,Enfield,4900,62900,7.8,*,1800,36900,4.9,*,2700,19700,13.7,*,2400,43300,5.6,*,,,,,,,,,,,
,Enfield,!,78000,!,!,5500,33900,16.3,*,!,16200,!,!,2500,38100,6.6,*,,,,,,,,,,,
,Enfield,!,68400,!,!,!,34000,!,!,4000,32200,12.4,*,!,34400,!,!,,,,,,,,,,,
,Enfield,3000,66800,4.4,*,!,28300,!,!,!,32400,!,!,5100,43600,11.6,*,,,,,,,,,,,
,Greenwich,6100,63200,9.7,6.9,!,18200,!,!,2800,13800,20.5,*,4700,36300,13,10.5,,,,,,,,,,,
,Greenwich,7900,69200,11.4,7.3,1200,22800,5.3,*,2600,13700,19.3,*,2600,32200,8.1,*,,,,,,,,,,,
,Greenwich,5300,71600,7.4,6,!,27400,!,!,2800,12800,21.7,*,2900,36200,8.1,*,,,,,,,,,,,
,Greenwich,3700,62600,5.9,*,1100,27900,4,*,,18500,14,*,3200,39300,8.1,*,,,,,,,,,,,
,Greenwich,4500,74900,6,5.6,1900,27100,6.9,*,#,15200,10.7,*,1900,34000,5.5,*,,,,,,,,,,,
,Greenwich,3500,71400,4.9,*,!,30100,!,!,#,14700,10.6,*,2400,44900,5.4,*,,,,,,,,,,,
,Greenwich,5000,60500,8.2,*,!,32000,!,!,!,13200,!,!,3300,58900,5.7,*,,,,,,,,,,,
,Greenwich,4300,63200,6.8,*,!,34200,!,!,4100,24100,17.2,*,5300,49100,10.7,*,,,,,,,,,,,
,Greenwich,1600,71300,2.3,*,!,22100,!,!,!,15700,!,!,2100,54000,3.9,*,,,,,,,,,,,
,Hackney,3400,57000,5.9,*,2200,25900,8.5,*,2200,18200,12.2,*,6400,31100,20.7,12.6,,,,,,,,,,,
,Hackney,1200,58100,2.1,*,2000,32200,6.3,*,3900,20400,19,14.7,4400,32700,13.3,9.7,,,,,,,,,,,
,Hackney,2300,60900,3.8,*,1800,30300,6,*,2600,25000,10.3,*,1800,27900,6.3,*,,,,,,,,,,,
,Hackney,2400,62300,3.8,*,2300,32500,7.2,*,3200,19000,16.6,15.7,3700,34200,10.7,9.6,,,,,,,,,,,
,Hackney,2000,64600,3,*,!,27700,!,!,3400,23500,14.4,*,3300,37000,9,*,,,,,,,,,,,
,Hackney,!,70800,!,!,!,33000,!,!,2200,19000,11.7,*,3800,34500,11,*,,,,,,,,,,,
,Hackney,4100,73100,5.6,*,!,32400,!,!,!,15000,!,!,2200,42400,5.2,*,,,,,,,,,,,
,Hackney,5400,91100,5.9,*,!,38000,!,!,!,22500,!,!,3300,35800,9.1,*,,,,,,,,,,,
,Hackney,7700,79100,9.8,*,6300,39400,15.9,*,!,22200,!,!,!,38500,!,!,,,,,,,,,,,
,Hammersmith and Fulham,2000,49000,4.1,4.2,800,31100,2.7,*,800,7900,9.5,*,2700,14900,17.9,14.1,,,,,,,,,,,
,Hammersmith and Fulham,1800,53300,3.5,*,2800,30100,9.4,*,!,7200,!,!,800,18700,4.2,*,,,,,,,,,,,
,Hammersmith and Fulham,1600,43900,3.7,*,1200,33000,3.5,*,1200,10200,11.8,*,1200,20600,5.7,*,,,,,,,,,,,
,Hammersmith and Fulham,1300,41900,3,*,700,33200,2,*,800,8900,8.8,*,!,21100,!,!,,,,,,,,,,,
,Hammersmith and Fulham,1200,41600,2.9,*,1100,31500,3.6,*,1600,9700,16.2,*,1700,22800,7.6,*,,,,,,,,,,,
,Hammersmith and Fulham,1800,47400,3.9,*,!,31900,!,!,!,5900,!,!,!,16800,!,!,,,,,,,,,,,
,Hammersmith and Fulham,3300,44200,7.4,*,1400,33900,4.2,*,1400,12800,11,*,!,16000,!,!,,,,,,,,,,,
